x B1 B2 B3 B4 B5 B6 B7 B8 knots
0.087087 0.029991 0.51834 0.43791 0.01376 0 0 0 0 0
0.088088 0.0292 0.5154 0.44116 0.01424 0 0 0 0 0
0.089089 0.028424 0.51244 0.44441 0.014731 0 0 0 0 0
0.09009 0.027661 0.50946 0.44765 0.015233 0 0 0 0 0
0.091091 0.026912 0.50647 0.45087 0.015747 0 0 0 0 0
0.092092 0.026177 0.50346 0.45409 0.016271 0 0 0 0 0
0.093093 0.025455 0.50043 0.45731 0.016808 0 0 0 0 0
0.094094 0.024747 0.49739 0.46051 0.017356 0 0 0 0 0
0.095095 0.024052 0.49434 0.4637 0.017916 0 0 0 0 0
0.096096 0.02337 0.49127 0.46688 0.018487 0 0 0 0 0
0.097097 0.022701 0.48818 0.47004 0.019071 0 0 0 0 0
0.098098 0.022045 0.48509 0.4732 0.019667 0 0 0 0 0
0.099099 0.021401 0.48198 0.47635 0.020275 0 0 0 0 0
0.1001 0.020771 0.47885 0.47948 0.020896 0 0 0 0 0
0.1011 0.020153 0.47572 0.4826 0.021529 0 0 0 0 0
0.1021 0.019547 0.47257 0.48571 0.022175 0 0 0 0 0
0.1031 0.018953 0.46941 0.4888 0.022834 0 0 0 0 0
0.1041 0.018372 0.46624 0.49188 0.023505 0 0 0 0 0
0.10511 0.017803 0.46306 0.49495 0.02419 0 0 0 0 0
0.10611 0.017245 0.45987 0.498 0.024887 0 0 0 0 0
0.10711 0.0167 0.45666 0.50104 0.025598 0 0 0 0 0
0.10811 0.016166 0.45345 0.50406 0.026323 0 0 0 0 0
0.10911 0.015643 0.45023 0.50707 0.027061 0 0 0 0 0
0.11011 0.015132 0.447 0.51006 0.027813 0 0 0 0 0
0.11111 0.014632 0.44376 0.51303 0.028578 0 0 0 0 0
0.11211 0.014143 0.44051 0.51599 0.029357 0 0 0 0 0
0.11311 0.013665 0.43725 0.51893 0.030151 0 0 0 0 0
0.11411 0.013198 0.43399 0.52185 0.030958 0 0 0 0 0
0.11512 0.012742 0.43072 0.52476 0.03178 0 0 0 0 0
0.11612 0.012297 0.42744 0.52764 0.032616 0 0 0 0 0
0.11712 0.011862 0.42416 0.53051 0.033467 0 0 0 0 0
0.11812 0.011437 0.42087 0.53336 0.034333 0 0 0 0 0
0.11912 0.011023 0.41757 0.53619 0.035213 0 0 0 0 0
0.12012 0.010619 0.41427 0.539 0.036108 0 0 0 0 0
0.12112 0.010224 0.41096 0.54179 0.037018 0 0 0 0 0
0.12212 0.0098401 0.40765 0.54456 0.037944 0 0 0 0 0
0.12312 0.0094656 0.40434 0.54731 0.038885 0 0 0 0 0
0.12412 0.0091006 0.40102 0.55004 0.039841 0 0 0 0 0
0.12513 0.0087451 0.3977 0.55275 0.040812 0 0 0 0 0
0.12613 0.0083991 0.39437 0.55543 0.0418 0 0 0 0 0
0.12713 0.0080623 0.39104 0.55809 0.042803 0 0 0 0 0
0.12813 0.0077346 0.38771 0.56073 0.043822 0 0 0 0 0
0.12913 0.0074159 0.38438 0.56335 0.044857 0 0 0 0 0
0.13013 0.0071061 0.38105 0.56594 0.045908 0 0 0 0 0
0.13113 0.006805 0.37771 0.56851 0.046976 0 0 0 0 0
0.13213 0.0065126 0.37437 0.57105 0.04806 0 0 0 0 0
0.13313 0.0062286 0.37104 0.57357 0.049161 0 0 0 0 0
0.13413 0.0059531 0.3677 0.57607 0.050278 0 0 0 0 0
0.13514 0.0056857 0.36436 0.57854 0.051412 0 0 0 0 0
0.13614 0.0054266 0.36103 0.58098 0.052563 0 0 0 0 0
0.13714 0.0051754 0.35769 0.5834 0.053731 0 0 0 0 0
0.13814 0.0049321 0.35436 0.58579 0.054916 0 0 0 0 0
0.13914 0.0046965 0.35103 0.58816 0.056119 0 0 0 0 0
0.14014 0.0044685 0.3477 0.59049 0.057339 0 0 0 0 0
0.14114 0.0042481 0.34437 0.5928 0.058576 0 0 0 0 0
0.14214 0.004035 0.34105 0.59508 0.059831 0 0 0 0 0
0.14314 0.0038292 0.33773 0.59734 0.061104 0 0 0 0 0
0.14414 0.0036305 0.33441 0.59956 0.062395 0 0 0 0 0
0.14515 0.0034388 0.3311 0.60176 0.063704 0 0 0 0 0
0.14615 0.0032539 0.32779 0.60392 0.065031 0 0 0 0 0
0.14715 0.0030758 0.32449 0.60606 0.066376 0 0 0 0 0
0.14815 0.0029044 0.32119 0.60816 0.06774 0 0 0 0 0
0.14915 0.0027394 0.3179 0.61024 0.069123 0 0 0 0 0
0.15015 0.0025808 0.31461 0.61228 0.070524 0 0 0 0 0
0.15115 0.0024284 0.31133 0.6143 0.071944 0 0 0 0 0
0.15215 0.0022822 0.30806 0.61628 0.073383 0 0 0 0 0
0.15315 0.0021419 0.30479 0.61823 0.07484 0 0 0 0 0
0.15415 0.0020075 0.30153 0.62014 0.076318 0 0 0 0 0
0.15516 0.0018789 0.29828 0.62203 0.077814 0 0 0 0 0
0.15616 0.0017558 0.29504 0.62388 0.07933 0 0 0 0 0
0.15716 0.0016383 0.2918 0.62569 0.080865 0 0 0 0 0
0.15816 0.0015261 0.28858 0.62748 0.08242 0 0 0 0 0
