x B0 B1 B2 B3 knots
0 0 0 0 0 0
0.001001001001001 0 0 0 0 0.1
0.002002002002002 0 0 0 0 0.2
0.003003003003003 0 0 0 0 0.38
0.004004004004004 0 0 0 0 0.46
0.005005005005005 0 0 0 0 0.52
0.00600600600600601 0 0 0 0 0.56
0.00700700700700701 0 0 0 0 0.83
0.00800800800800801 0 0 0 0 0.88
0.00900900900900901 0 0 0 0 0.9
0.01001001001001 0 0 0 0 1
0.011011011011011 0 0 0 0 0
0.012012012012012 0 0 0 0 0
0.013013013013013 0 0 0 0 0
0.014014014014014 0 0 0 0 0
0.015015015015015 0 0 0 0 0
0.016016016016016 0 0 0 0 0
0.017017017017017 0 0 0 0 0
0.018018018018018 0 0 0 0 0
0.019019019019019 0 0 0 0 0
0.02002002002002 0 0 0 0 0
0.021021021021021 0 0 0 0 0
0.022022022022022 0 0 0 0 0
0.023023023023023 0 0 0 0 0
0.024024024024024 0 0 0 0 0
0.025025025025025 0 0 0 0 0
0.026026026026026 0 0 0 0 0
0.027027027027027 0 0 0 0 0
0.028028028028028 0 0 0 0 0
0.029029029029029 0 0 0 0 0
0.03003003003003 0 0 0 0 0
0.031031031031031 0 0 0 0 0
0.032032032032032 0 0 0 0 0
0.033033033033033 0 0 0 0 0
0.034034034034034 0 0 0 0 0
0.035035035035035 0 0 0 0 0
0.036036036036036 0 0 0 0 0
0.037037037037037 0 0 0 0 0
0.038038038038038 0 0 0 0 0
0.039039039039039 0 0 0 0 0
0.04004004004004 0 0 0 0 0
0.041041041041041 0 0 0 0 0
0.042042042042042 0 0 0 0 0
0.043043043043043 0 0 0 0 0
0.044044044044044 0 0 0 0 0
0.045045045045045 0 0 0 0 0
0.046046046046046 0 0 0 0 0
0.047047047047047 0 0 0 0 0
0.048048048048048 0 0 0 0 0
0.049049049049049 0 0 0 0 0
0.0500500500500501 0 0 0 0 0
0.0510510510510511 0 0 0 0 0
0.0520520520520521 0 0 0 0 0
0.0530530530530531 0 0 0 0 0
0.0540540540540541 0 0 0 0 0
0.0550550550550551 0 0 0 0 0
0.0560560560560561 0 0 0 0 0
0.0570570570570571 0 0 0 0 0
0.0580580580580581 0 0 0 0 0
0.0590590590590591 0 0 0 0 0
0.0600600600600601 0 0 0 0 0
0.0610610610610611 0 0 0 0 0
0.0620620620620621 0 0 0 0 0
0.0630630630630631 0 0 0 0 0
0.0640640640640641 0 0 0 0 0
0.0650650650650651 0 0 0 0 0
0.0660660660660661 0 0 0 0 0
0.0670670670670671 0 0 0 0 0
0.0680680680680681 0 0 0 0 0
0.0690690690690691 0 0 0 0 0
0.0700700700700701 0 0 0 0 0
0.0710710710710711 0 0 0 0 0
0.0720720720720721 0 0 0 0 0
0.0730730730730731 0 0 0 0 0
0.0740740740740741 0 0 0 0 0
0.0750750750750751 0 0 0 0 0
0.0760760760760761 0 0 0 0 0
0.0770770770770771 0 0 0 0 0
0.0780780780780781 0 0 0 0 0
0.0790790790790791 0 0 0 0 0
0.0800800800800801 0 0 0 0 0
0.0810810810810811 0 0 0 0 0
0.0820820820820821 0 0 0 0 0
0.0830830830830831 0 0 0 0 0
0.0840840840840841 0 0 0 0 0
0.0850850850850851 0 0 0 0 0
0.0860860860860861 0 0 0 0 0
0.0870870870870871 0 0 0 0 0
0.0880880880880881 0 0 0 0 0
0.0890890890890891 0 0 0 0 0
0.0900900900900901 0 0 0 0 0
0.0910910910910911 0 0 0 0 0
0.0920920920920921 0 0 0 0 0
0.0930930930930931 0 0 0 0 0
0.0940940940940941 0 0 0 0 0
0.0950950950950951 0 0 0 0 0
0.0960960960960961 0 0 0 0 0
0.0970970970970971 0 0 0 0 0
0.0980980980980981 0 0 0 0 0
0.0990990990990991 0 0 0 0 0
0.1001001001001 1 0.00100100100100101 3.57858215716077e-07 9.95045644856187e-11 0
0.101101101101101 1 0.0110110110110109 4.33008441016442e-05 1.32440575330353e-07 0
0.102102102102102 1 0.021021021021021 0.000157815473130788 9.21511771701296e-07 0
0.103103103103103 1 0.0310310310310309 0.000343901745303144 2.96434048059099e-06 0
0.104104104104104 1 0.041041041041041 0.000601559660618718 6.85795408891319e-06 0
0.105105105105105 1 0.051051051051051 0.000930789219077507 1.31993799835816e-05 0
0.106106106106106 1 0.061061061061061 0.00133159042067951 2.25856455515098e-05 0
0.107107107107107 1 0.071071071071071 0.00180396326542472 3.56137781796117e-05 0
0.108108108108108 1 0.0810810810810811 0.00234790775331316 5.28808052548009e-05 0
0.109109109109109 1 0.091091091091091 0.0029634238843448 7.49837541639908e-05 0
0.11011011011011 1 0.101101101101101 0.00365051165851966 0.000102519652294096 0
0.111111111111111 1 0.111111111111111 0.00440917107583773 0.000136085527032029 0
0.112112112112112 1 0.121121121121121 0.00523940213629903 0.000176278405764704 0
0.113113113113113 1 0.131131131131131 0.00614120483990354 0.000223695315879036 0
0.114114114114114 1 0.141141141141141 0.00711457918665125 0.000278933284761936 0
0.115115115115115 1 0.151151151151151 0.00815952517654219 0.00034258933980032 0
0.116116116116116 1 0.161161161161161 0.00927604280957634 0.000415260508381101 0
0.117117117117117 1 0.171171171171171 0.0104641320857537 0.000497543817891192 0
0.118118118118118 1 0.181181181181181 0.0117237930050743 0.000590036295717508 0
0.119119119119119 1 0.191191191191191 0.0130550255675381 0.00069333496924696 0
0.12012012012012 1 0.201201201201201 0.0144578297731451 0.000808036865866466 0
0.121121121121121 1 0.211211211211211 0.0159322056218953 0.000934739012962938 0
0.122122122122122 1 0.221221221221221 0.0174781531137887 0.00107403843792329 0
