x B1 B2 B3 B4 B5 B6 B7 B8 knots
0.084084 0.0046692 0.36135 0.63151 0.0024754 0 0 0 0 0
0.085085 0.0045678 0.35978 0.63308 0.0025769 0 0 0 0 0
0.086086 0.0044676 0.3582 0.63465 0.0026815 0 0 0 0 0
0.087087 0.0043686 0.35662 0.63622 0.0027892 0 0 0 0 0
0.088088 0.0042707 0.35504 0.63779 0.0029001 0 0 0 0 0
0.089089 0.0041741 0.35344 0.63937 0.0030142 0 0 0 0 0
0.09009 0.0040786 0.35184 0.64095 0.0031317 0 0 0 0 0
0.091091 0.0039843 0.35024 0.64252 0.0032525 0 0 0 0 0
0.092092 0.0038912 0.34863 0.6441 0.0033768 0 0 0 0 0
0.093093 0.0037993 0.34701 0.64568 0.0035046 0 0 0 0 0
0.094094 0.0037086 0.34539 0.64726 0.003636 0 0 0 0 0
0.095095 0.003619 0.34376 0.64885 0.003771 0 0 0 0 0
0.096096 0.0035307 0.34213 0.65043 0.0039097 0 0 0 0 0
0.097097 0.0034435 0.34049 0.65201 0.0040523 0 0 0 0 0
0.098098 0.0033576 0.33885 0.6536 0.0041987 0 0 0 0 0
0.099099 0.0032728 0.3372 0.65518 0.0043491 0 0 0 0 0
0.1001 0.0031892 0.33554 0.65677 0.0045034 0 0 0 0 0
0.1011 0.0031068 0.33388 0.65835 0.0046619 0 0 0 0 0
0.1021 0.0030256 0.33222 0.65993 0.0048245 0 0 0 0 0
0.1031 0.0029456 0.33054 0.66152 0.0049914 0 0 0 0 0
0.1041 0.0028668 0.32887 0.6631 0.0051626 0 0 0 0 0
0.10511 0.0027891 0.32719 0.66469 0.0053382 0 0 0 0 0
0.10611 0.0027127 0.3255 0.66627 0.0055183 0 0 0 0 0
0.10711 0.0026374 0.32381 0.66785 0.0057029 0 0 0 0 0
0.10811 0.0025634 0.32211 0.66944 0.0058922 0 0 0 0 0
0.10911 0.0024905 0.32041 0.67102 0.0060862 0 0 0 0 0
0.11011 0.0024188 0.3187 0.6726 0.0062851 0 0 0 0 0
0.11111 0.0023482 0.31699 0.67418 0.0064888 0 0 0 0 0
0.11211 0.0022789 0.31527 0.67575 0.0066975 0 0 0 0 0
0.11311 0.0022107 0.31355 0.67733 0.0069114 0 0 0 0 0
0.11411 0.0021437 0.31182 0.6789 0.0071303 0 0 0 0 0
0.11512 0.0020779 0.31009 0.68048 0.0073546 0 0 0 0 0
0.11612 0.0020132 0.30835 0.68205 0.0075841 0 0 0 0 0
0.11712 0.0019497 0.30661 0.68362 0.0078192 0 0 0 0 0
0.11812 0.0018874 0.30487 0.68518 0.0080597 0 0 0 0 0
0.11912 0.0018262 0.30312 0.68675 0.0083059 0 0 0 0 0
0.12012 0.0017662 0.30136 0.68831 0.0085578 0 0 0 0 0
0.12112 0.0017074 0.29961 0.68987 0.0088155 0 0 0 0 0
0.12212 0.0016497 0.29784 0.69143 0.0090792 0 0 0 0 0
0.12312 0.0015931 0.29608 0.69298 0.0093489 0 0 0 0 0
0.12412 0.0015377 0.29431 0.69453 0.0096247 0 0 0 0 0
0.12513 0.0014834 0.29253 0.69608 0.0099067 0 0 0 0 0
0.12613 0.0014303 0.29075 0.69762 0.010195 0 0 0 0 0
0.12713 0.0013783 0.28897 0.69916 0.01049 0 0 0 0 0
0.12813 0.0013274 0.28719 0.70069 0.010791 0 0 0 0 0
0.12913 0.0012776 0.2854 0.70223 0.011099 0 0 0 0 0
0.13013 0.001229 0.2836 0.70375 0.011414 0 0 0 0 0
0.13113 0.0011815 0.28181 0.70528 0.011735 0 0 0 0 0
0.13213 0.001135 0.28001 0.70679 0.012064 0 0 0 0 0
0.13313 0.0010897 0.2782 0.70831 0.0124 0 0 0 0 0
0.13413 0.0010455 0.2764 0.70982 0.012743 0 0 0 0 0
0.13514 0.0010023 0.27459 0.71132 0.013093 0 0 0 0 0
0.13614 0.00096023 0.27277 0.71282 0.01345 0 0 0 0 0
0.13714 0.00091923 0.27096 0.71431 0.013816 0 0 0 0 0
0.13814 0.00087929 0.26914 0.71579 0.014189 0 0 0 0 0
0.13914 0.00084042 0.26732 0.71727 0.014569 0 0 0 0 0
0.14014 0.00080259 0.26549 0.71875 0.014958 0 0 0 0 0
0.14114 0.00076581 0.26367 0.72021 0.015354 0 0 0 0 0
0.14214 0.00073007 0.26184 0.72167 0.015759 0 0 0 0 0
0.14314 0.00069535 0.26 0.72313 0.016172 0 0 0 0 0
0.14414 0.00066165 0.25817 0.72457 0.016594 0 0 0 0 0
0.14515 0.00062896 0.25633 0.72601 0.017024 0 0 0 0 0
0.14615 0.00059728 0.2545 0.72744 0.017463 0 0 0 0 0
0.14715 0.00056658 0.25266 0.72887 0.017911 0 0 0 0 0
0.14815 0.00053687 0.25081 0.73028 0.018367 0 0 0 0 0
0.14915 0.00050813 0.24897 0.73169 0.018833 0 0 0 0 0
0.15015 0.00048035 0.24712 0.73309 0.019308 0 0 0 0 0
0.15115 0.00045353 0.24528 0.73448 0.019792 0 0 0 0 0
0.15215 0.00042765 0.24343 0.73586 0.020286 0 0 0 0 0
0.15315 0.00040269 0.24158 0.73723 0.02079 0 0 0 0 0
0.15415 0.00037866 0.23973 0.73859 0.021303 0 0 0 0 0
0.15516 0.00035554 0.23788 0.73994 0.021826 0 0 0 0 0
0.15616 0.00033331 0.23603 0.74128 0.02236 0 0 0 0 0
0.15716 0.00031196 0.23417 0.74261 0.022904 0 0 0 0 0
0.15816 0.00029149 0.23232 0.74393 0.023458 0 0 0 0 0
0.15916 0.00027187 0.23047 0.74524 0.024022 0 0 0 0 0
0.16016 0.0002531 0.22861 0.74654 0.024598 0 0 0 0 0
0.16116 0.00023517 0.22676 0.74782 0.025184 0 0 0 0 0
0.16216 0.00021805 0.2249 0.7491 0.025782 0 0 0 0 0
0.16316 0.00020173 0.22305 0.75036 0.02639 0 0 0 0 0
0.16416 0.0001862 0.22119 0.75161 0.02701 0 0 0 0 0
0.16517 0.00017145 0.21934 0.75285 0.027642 0 0 0 0 0
0.16617 0.00015746 0.21749 0.75407 0.028285 0 0 0 0 0
0.16717 0.00014421 0.21564 0.75528 0.02894 0 0 0 0 0
0.16817 0.00013169 0.21378 0.75648 0.029607 0 0 0 0 0
0.16917 0.00011989 0.21193 0.75766 0.030286 0 0 0 0 0
0.17017 0.00010877 0.21008 0.75883 0.030978 0 0 0 0 0
0.17117 9.8342e-05 0.20824 0.75998 0.031682 0 0 0 0 0
0.17217 8.8569e-05 0.20639 0.76112 0.0324 0 0 0 0 0
0.17317 7.9441e-05 0.20455 0.76224 0.03313 0 0 0 0 0
0.17417 7.0937e-05 0.2027 0.76335 0.033873 0 0 0 0 0
0.17518 6.3041e-05 0.20086 0.76444 0.034629 0 0 0 0 0
0.17618 5.5732e-05 0.19902 0.76552 0.035399 0 0 0 0 0
0.17718 4.8992e-05 0.19719 0.76658 0.036183 0 0 0 0 0
0.17818 4.28e-05 0.19536 0.76762 0.036981 0 0 0 0 0
0.17918 3.7138e-05 0.19353 0.76865 0.037792 0 0 0 0 0
0.18018 3.1983e-05 0.1917 0.76965 0.038618 0 0 0 0 0
0.18118 2.7316e-05 0.18987 0.77064 0.039459 0 0 0 0 0
